file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_2$DeepLearning_model_R_1509973865970_1_Weight_2_0,fill/1[float[]],false,11725,1,1,1,0,1,0,1002,0,0,1,0,0,0,0,0,0,0,0,2000,1000,0,0,0,0,0,4,24,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_3$DeepLearning_model_R_1509973865970_1_Bias_3_0,fill/1[double[]],false,914,1,1,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,2,24,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\Multiply.java,com.github.megachucky.kafka.streams.machinelearning.Multiply,"multiply/2[long,long]",false,16,2,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\Multiply.java,com.github.megachucky.kafka.streams.machinelearning.Multiply,"multiply/2[double,double]",false,26,2,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\Multiply.java,com.github.megachucky.kafka.streams.machinelearning.Multiply,"multiply/2[java.lang.Long,java.lang.Long]",false,21,2,0,0,0,3,0,3,1,0,2,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\Multiply.java,com.github.megachucky.kafka.streams.machinelearning.Multiply,"multiply/2[int,int]",false,11,2,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_3$DeepLearning_model_R_1509973865970_1_Weight_3_0,fill/1[float[]],false,12736,1,1,1,0,1,0,1002,0,0,1,0,0,0,0,0,0,0,0,2000,1000,0,0,0,0,0,3,24,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,getModelCategory/0,false,47,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,nclasses/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,getUUID/0,false,743,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,isSupervised/0,false,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,getPredsSize/0,false,497,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,getHeader/0,false,499,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,DeepLearning_model_R_1509973865970_1/0,true,742,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,nfeatures/0,false,49,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,isAutoEncoder/0,false,498,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
